250
(0.808001, -0.267919, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.816001, -0.359034, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.824001, -0.446843, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.832001, -0.530536, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.840001, -0.609344, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.848001, -0.682540, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.856001, -0.749452, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.864001, -0.809461, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.872001, -0.862016, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.880001, -0.906633, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.888001, -0.942901, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.896001, -0.970485, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.904001, -0.989133, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.912001, -0.998671, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.920001, -0.999013, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.928001, -0.990155, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.936001, -0.972178, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.944001, -0.945249, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.952001, -0.909615, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.960001, -0.865605, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.968001, -0.813623, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.976001, -0.754148, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.984001, -0.687729, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.992001, -0.614976, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
